data,detalhes,tipo,5_dia_util,transacoes_negocio
2015-06-23,Dia Produção Sisbr;,Normal,,4.379.552
2015-06-24,Pagamento de benefícios INSS;,Normal,,3.888.952
2015-06-25,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.390.011
2015-06-26,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.357.348
2015-06-27,Utilização de Caixa Eletrônico;,Normal,,998.955
2015-06-28,Utilização de Caixa Eletrônico;,Normal,,514.143
2015-06-29,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,5.144.238
2015-06-30,Congelamento do ambiente; ; Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch; Processo de Migração/Incorporação;,Congelamento,,5.267.097
2015-07-01,Pagamento de benefícios INSS; Arrecadação de Convênios; Processo de Migração/Incorporação;,Atenção,,5.327.533
2015-07-02,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.790.994
2015-07-03,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.109.405
2015-07-04,Utilização de Caixa Eletrônico;,Normal,,1.240.464
2015-07-05,Utilização de Caixa Eletrônico;,Normal,,611.635
2015-07-06,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,6.624.241
2015-07-07,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,1,5.790.406
2015-07-08,Arrecadação de Convênios;,Normal,,5.044.114
2015-07-09,Dia Produção Sisbr; Arrecadação de Convênios;,Normal,,4.302.519
2015-07-10,Arrecadação de Convênios; Arrecadação de GPS;,Normal,,5.652.744
2015-07-11,Utilização de Caixa Eletrônico;,Normal,,1.160.405
2015-07-12,Utilização de Caixa Eletrônico;,Normal,,592.973
2015-07-13,Movimento Segunda-Feira;,Alto Risco,,5.947.884
2015-07-14,Dia Produção Sisbr; Movimento Batch – Compe Inferior;,Normal,,4.859.716
2015-07-15,Movimento Batch – Empréstimo 0001;,Normal,,5.321.135
2015-07-16,Dia Produção Sisbr; Movimento Batch – Empréstimo 0001;,Normal,,4.491.490
2015-07-17,,Normal,,4.538.390
2015-07-18,Utilização de Caixa Eletrônico;,Normal,,1.075.829
2015-07-19,Utilização de Caixa Eletrônico;,Normal,,561.928
2015-07-20,Movimento Segunda-Feira; Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; Dia de maior movimento do Sicoobnet Empresarial;,Alto Risco,,6.473.913
2015-07-21,Dia Produção Sisbr;,Normal,,4.757.160
2015-07-22,,Normal,,4.442.087
2015-07-23,Dia Produção Sisbr;,Normal,,4.206.936
2015-07-24,,Normal,,4.566.787
2015-07-25,Utilização de Caixa Eletrônico;,Normal,,1.008.077
2015-07-26,Utilização de Caixa Eletrônico;,Normal,,516.085
2015-07-27,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,5.703.318
2015-07-28,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.306.874
